game_num,starting_fen,initial_material_diff,result
1,8/5k2/8/8/2K5/5q2/3B4/8 b - - 0 1,-550,0-1
2,4K3/8/N4q2/4k3/R7/7R/4n3/8 w - - 0 1,100,0-1
3,8/bk6/8/4N3/4bR2/8/8/4K3 b - - 0 1,100,0-1
4,8/2n1P3/8/3Q4/8/4k3/1K1N4/1n6 w - - 0 1,700,1/2-1/2
5,8/8/2K5/8/8/P7/4qk2/8 b - - 0 1,-800,0-1
6,8/k7/6n1/8/r3Q3/1K2p3/2B5/8 w - - 0 1,350,0-1
7,6k1/8/8/K7/7p/8/2P5/8 b - - 0 1,0,0-1
8,7q/2N5/4K3/8/3b4/k7/6r1/3Q4 b - - 0 1,-550,0-1
9,7b/8/RK2k3/8/4n3/8/8/4R3 w - - 0 1,350,0-1
10,2K5/7N/8/8/3p4/8/4k3/8 b - - 0 1,200,0-1
11,5K2/1P6/k7/8/8/2p5/8/8 w - - 0 1,0,0-1
12,4q1k1/8/8/8/8/1b1K4/2B4P/8 w - - 0 1,-800,0-1
13,5N2/2n3Q1/3q4/1k6/8/8/6Q1/4K3 w - - 0 1,900,1-0
14,8/2P5/8/3R4/2K5/k5qb/8/8 b - - 0 1,-650,0-1
15,8/5k2/1K6/5r2/5r2/8/6R1/3b4 b - - 0 1,-850,0-1
16,5n2/6R1/6q1/4k3/2K5/8/8/8 w - - 0 1,-700,0-1
17,8/8/8/1b4K1/4k3/8/8/5R2 w - - 0 1,150,1/2-1/2
18,8/k4K2/7Q/7n/8/4p3/8/4r3 w - - 0 1,0,0-1
19,6k1/8/8/3r4/8/1P3R2/4K3/8 b - - 0 1,100,0-1
20,8/6K1/1k6/8/6N1/6R1/8/4r3 w - - 0 1,300,0-1
21,8/4k3/2b4b/4N3/8/R7/4K3/b7 b - - 0 1,-250,0-1
22,N7/1p6/4k3/8/1p6/8/3p2K1/8 w - - 0 1,0,0-1
23,1b6/7q/4KQ1N/5Q2/2k5/5r2/8/8 b - - 0 1,350,0-1
24,8/6P1/1K6/3R4/4p2k/8/8/8 w - - 0 1,500,1-0
25,8/K1B5/8/8/1N1pk3/3r4/5R2/8 b - - 0 1,550,0-1
26,3R4/1K6/8/8/7k/3q4/8/6R1 b - - 0 1,100,0-1
27,8/4p1K1/8/5P2/5r2/4k3/8/7n b - - 0 1,-800,0-1
28,8/B7/4k3/6p1/K1n5/8/8/8 w - - 0 1,-50,0-1
29,8/8/4K3/3p4/8/8/2Q5/n4q1k b - - 0 1,-400,0-1
30,3k4/1R6/5K2/8/8/5p2/6n1/2q5 w - - 0 1,-800,0-1
31,R7/4n3/8/1n6/8/7K/8/7k b - - 0 1,-100,1/2-1/2
32,7n/1kN5/8/8/7P/8/3K4/5N2 w - - 0 1,400,1/2-1/2
33,8/8/8/5K2/1k6/3P4/6r1/8 b - - 0 1,-400,0-1
34,8/7k/8/B5q1/8/6R1/5K2/3R4 w - - 0 1,450,0-1
35,8/1b5K/2k5/8/3B4/5R2/1n6/8 w - - 0 1,200,0-1
36,8/5q2/8/2P5/1k6/7K/8/8 b - - 0 1,-800,0-1
37,2k5/3n4/R2K4/7q/8/8/5p2/8 w - - 0 1,-800,0-1
38,8/8/3N1K1p/k3n3/8/8/8/2q3N1 w - - 0 1,-700,0-1
39,8/8/6b1/8/3k1K2/4r1N1/8/8 w - - 0 1,-550,0-1
40,8/8/8/2b2k2/4R3/4B3/K7/8 b - - 0 1,500,1/2-1/2
41,8/2k3q1/8/N7/8/8/8/4K3 w - - 0 1,-600,0-1
42,8/8/3K4/8/4k3/8/7P/7q w - - 0 1,-800,0-1
43,8/8/1N2K3/8/8/R1r1R3/1b6/2k5 b - - 0 1,450,0-1
44,8/8/8/8/4p3/1K4p1/8/1k1B4 b - - 0 1,150,0-1
45,4k3/2pp4/8/7P/8/8/R2P2K1/8 w - - 0 1,500,0-1
46,k7/5B2/1K6/2P5/8/8/8/4r3 b - - 0 1,-50,0-1
47,8/4n3/8/1k6/8/8/1BK5/8 b - - 0 1,50,1/2-1/2
48,8/8/3K4/5Q2/4q3/3k4/8/8 b - - 0 1,0,0-1
49,2n3K1/8/8/8/8/7p/5R2/2k5 b - - 0 1,100,1/2-1/2
50,8/2b3K1/P7/6n1/2k5/8/4p3/8 b - - 0 1,-650,0-1
